"Time","ASMR","Airport CEO","Alien: Isolation","Clash Royale","Dale & Dawson Stationery Supplies","Dead End Exit 8","Dead by Daylight","Dofus","ELDEN RING","FTL: Faster Than Light","Five Nights at Freddy's","Fortnite","Genshin Impact","Golf It!","Grand Theft Auto V","Harry Potter and the Sorcerer's Stone","Haunted Castle","Hearthstone","Hollow Knight","I'm Only Sleeping","IRL","Just Chatting","League of Legends","Maitre des Fleurs","Minecraft","NBA 2K25","Offline","Online","Outlast","Platform 8","Pokémon FireRed/LeafGreen","Pokémon GO","Pokémon HeartGold/SoulSilver","Pokémon Scarlet/Violet","PowerWash Simulator","Rocket League","Selaco","Special Agent","Special Events","Star Citizen","Street Fighter 6","Super Smash Bros. Ultimate","TEKKEN 8","Talk Shows & Podcasts","Teamfight Tactics","That's Not My Neighbor","The Legend of Zelda: Ocarina of Time","The Legend of Zelda: The Wind Waker","The Mortuary Assistant","Trackmania","VALORANT","Voices of the Void","Warhammer 40","World of Warcraft","World of Warships"
2024-09-06 18:05:00,,,,,,,,215,78,,1620,,223,,,,,1586,,,,14513,2761,,371,,0,111,,,,,,,,,,,157119,32,,,,191,63,,162,,,,,,171,181,
2024-09-06 18:10:00,,,,,,,,362,179,,2180,,254,,,,,1157,,,,9858,2382,,615,,0,,,,40,,,80,,,,,207035,,,,,208,93,,261,,,,,,,286,
2024-09-06 18:15:00,,,,,,,,512,,,2324,,291,,,,,,,,,10925,2038,,723,,0,,,,252,,,381,,,,,204101,,,,,76,112,,282,,,,,,,314,
2024-09-06 18:20:00,,,,,,,,586,,,2552,,334,,,,,,,,,9599,2101,,812,,0,,,,285,,,538,,,,,228173,,,,,142,128,,331,,,,,,,301,
2024-09-06 18:25:00,,,,,,,,477,,,2792,,323,,,,,,,,,9732,2298,,812,,0,,,,453,,,553,,,4471,,245477,,,,,209,209,,391,,,,,,,310,
2024-09-06 18:30:00,,,,,,,,,,,2835,,390,,,,,,,,,5065,2276,,,,0,,,,526,,526,,,187,4561,,247191,,,,,225,229,,380,,,,,,,661,
2024-09-06 18:35:00,,,,,,,,,,,2992,,382,,,,,,,,,4957,2125,,,,0,,,,,,540,,,155,4734,,258649,,,,,210,215,,413,,,,,,,728,
2024-09-06 18:40:00,,,,,,,,,,,2916,,425,,,,,,,,,1576,2319,,,,0,,,,,,819,,,183,4669,,268568,,,,,251,267,,435,,,,,,,701,
2024-09-06 18:45:00,,,,,,,,,,,3064,,449,,,,,,,,,490,2388,,,,0,,,,,,1036,,,222,4786,,273309,,,,,,309,,449,,,,,,,685,
2024-09-06 18:50:00,,,,,,,,,,,3586,,475,,,,,,,,,529,2420,,,,0,,,,,,1079,,,345,4976,,279899,,,,,,236,,439,,,,,,,1167,
2024-09-06 18:55:00,,,,,,,,,,,3189,,394,,,,,,,,,477,2616,,,,0,,,,,,1188,,,333,5165,,282352,,,,,,227,,,,,,,,,1182,
2024-09-06 19:00:00,,,,,,,,,,,3314,,463,,,,,,,,,482,2652,,,,0,,,,,,1215,,,434,5089,,287560,,,,,,251,,,,,,,,,1189,
2024-09-06 19:05:00,,,,,,,,,,,3127,,435,,,,,,,,,303,2356,,,,0,,,,,,1186,,,448,4688,,288719,,,311,,,238,,,,,,,,,1184,
2024-09-06 19:10:00,,,,,,,,,,,3292,,471,,,,,,,,,278,2441,,,,0,,,,,,1205,,,523,4355,,286514,,,320,,,232,,,,,,,,,1188,
2024-09-06 19:15:00,,,,,,,,,,,3292,,485,,,,,,,,,290,2477,,,,0,,,,,,1177,,,454,4471,,292675,,,336,,,282,,,,,,,,,1177,
2024-09-06 19:20:00,,,,,,,,,,,3372,,495,,,,,,,,,,2708,,,,0,,,,,,1160,,,494,4402,,301883,,,343,,,306,,,,,,,,,1246,
2024-09-06 19:25:00,,,,,,,,,,,3303,,501,,,,,,,,,,3136,,,,0,,,,,,1127,,,553,4789,,303811,,,347,,,314,,,,,,,,,1203,
