"Time","000: Space Marine II","0uahleouff","Alphacast","Anaee","Angle Droit","Antoine Daniel","Areliann","AsPig","Avamind","BARDINETTE","Baghera Jones","BartGeo","BenZaie","Berlu","Catboat","Charles","Chipsette","Chreak","CitronViolet","Clemovitch","Coffee","DamDamLive","Dhalen","Doigby","Dokhy","Domingo","DrFeelgood","Elbe_Poly","Etoiles","FantaBobShow","FarodGames","Flonflon","Forsa","Furax22","FuuRy_Off","Gius","Gom4rt","Hctuan","HeavenFox","Helydia","Hermanel","Horty","Hugolisoir","Humility","IciJaponCorp","JLTomy","JOSPLAY","JimmyBoyyy","Joueur du Grenier","Julgane","JulietteArz","KAOsvmd","KEMIST_C10H15N","Kameto","Karssi","Kenny","KyriaTV","LaSAINTE","Laink","Laniyelle","Laorie","Lapi","LePotoMat","LeVraiDoffy","Linca","LittleBigWhale","Lu_K","LuuxiA","LyeGaia","Malganyr","Marco","MissCliick_","Mister MV","MoMaN","Monodie","Morrigh4n","MrDeriv","MrQuaRate","MrTiboute","Mynthos","NAROY","Neagari","Niniste","OGN_EMPIRES","OPcrotte","Ouatdefok","Peaxy","PodaSai","Poko","Ponce","Pressea","PyrooTv","Recalbox","Redemption","Rivenzi","RoroowTV","SAPEUH","Sakor","Samuel Etienne","Saruei","Scok","Shisheyu","Shynouh","SieurPC","Slyders_HS","Sniper_Biscuit","SolaryHS","Sully_Game","Sundae","Sura","Tatiana_TV","TheGreatReview","TheGuill84","TheHolomovement","TiTavion","Tonton","Trinity","TwincyTV","Ultia","Un33D","Wingo","Xari","ZEVENT","ZEventPlays","ZeratoR","Zoltan","aypierre","dofla","haynetv","iunanova","kenbogard","lastbaroudeur","m4fgaming","mehdi_scc","rhobalas_lol","tpk_live","xo_trixy"
1725638520000,171,0,631,0,490,1764,0,154,467,46,745,94,0,0,0,0,0,1473,0,778,8,355,0,687,33,3899,241,32,432,undefined,1494,8,127,98,0,34,1007,0,0,1495,0,1169,52,0,382,656,36,1,575,216,0,37,0,3664,17,116,0,49,2508,8586,3959,194,65,0,414,127,0,24,111,0,162,35,251,247,10,0,98,0,0,202,55,92,62,0,681,51,0,0,36,2138,383,496,97,151,155,9,215,110,2771,1725,76,177,3,28,26,0,1586,0,161,0,0,0,703,0,191,685,0,0,313,63,65,0,0,0,72415,124,87,173,498,0,87,0,671,0,1544,48,0
1725638640000,171,0,869,0,490,1764,0,154,467,50,745,94,0,0,0,9,8,1221,0,778,8,355,0,687,33,3899,241,64,432,171,1620,70,127,98,0,33,978,0,0,2250,0,1169,106,0,338,656,36,168,3531,216,0,71,0,7695,78,116,0,165,6714,4293,3959,194,65,0,827,127,0,34,222,0,162,35,251,247,10,0,138,0,0,402,68,98,131,0,681,86,0,0,153,2138,383,420,97,151,155,9,215,110,3405,1725,119,602,3,28,51,0,1586,0,161,0,0,360,703,0,191,685,0,0,313,63,104,0,0,0,93673,124,371,173,498,0,87,0,810,0,1193,65,0
1725638760000,undefined,0,869,70,602,6915,0,223,500,50,812,111,0,0,0,9,8,1221,0,1023,28,370,0,687,60,4815,275,78,1442,633,1620,117,178,190,0,33,978,224,0,2250,0,1531,106,0,338,4880,353,168,3531,216,0,71,50,7695,78,116,0,165,3357,1974,1436,190,114,0,827,391,0,34,175,0,162,1027,2698,236,94,0,138,0,0,402,68,98,131,0,750,86,0,0,153,2338,419,420,107,151,155,72,272,110,3405,3329,119,602,72,28,51,0,1586,0,155,0,0,360,1009,0,184,685,0,0,313,90,104,0,0,0,93673,181,371,173,239,0,165,0,810,0,1193,65,0
1725638880000,undefined,0,1196,99,602,6915,0,223,500,54,812,111,0,0,0,20,79,965,0,1023,28,370,0,769,60,4815,275,78,1442,633,2180,117,178,190,0,40,1062,224,85,2764,0,1531,162,0,320,4880,353,168,4486,216,0,93,50,11605,179,140,0,165,3707,1615,1436,190,114,0,992,391,0,66,175,0,162,1027,2698,236,94,14,138,0,0,447,68,108,131,0,750,116,21,0,153,2338,419,489,107,312,207,72,272,110,3531,3329,119,602,90,230,71,0,1157,0,155,0,181,360,1009,80,184,873,45,55,313,90,113,0,0,0,111722,181,371,173,239,24,165,20,949,0,1193,78,0
1725639000000,undefined,0,1196,99,851,12390,0,254,656,54,1314,135,0,0,0,30,79,965,0,1290,60,370,0,769,90,7901,369,88,0,1164,2180,155,195,190,0,40,1062,283,85,2764,0,2222,162,0,320,9310,552,235,4486,413,0,93,50,11605,179,140,0,267,3707,1615,1405,324,134,0,992,598,0,66,269,0,261,1027,5963,293,193,14,165,0,0,447,94,94,187,0,1148,116,21,0,362,3225,759,458,113,312,352,119,342,163,3531,4056,151,1281,90,230,82,0,2314,0,219,0,181,505,1360,80,208,1347,45,55,687,93,113,0,0,40,111722,286,615,304,298,48,311,20,949,0,1043,97,0
1725639120000,undefined,0,1957,231,1058,12390,0,254,810,67,1314,135,0,0,0,30,122,759,0,1290,60,570,0,1373,93,9894,472,88,1604,1164,2324,155,195,190,0,88,1370,283,296,4617,0,2452,162,0,320,9310,552,235,8261,444,0,111,155,18042,179,233,0,267,6272,1572,1405,415,134,0,1188,598,0,110,269,0,261,1027,5963,293,193,58,174,0,0,864,83,188,187,0,1148,116,59,0,362,3225,759,458,113,349,352,119,342,163,5869,4056,151,1599,96,230,82,0,1182,0,219,0,181,505,1360,302,0,1347,170,442,687,93,113,0,0,252,70169,286,615,304,298,68,311,56,949,0,904,97,0
1725639240000,undefined,0,1957,231,1058,14362,0,291,810,75,1466,161,0,0,0,47,122,759,0,1534,68,570,0,1373,93,9894,472,92,1604,1576,2324,160,253,231,0,88,1370,348,296,4617,0,2452,273,0,328,11475,633,295,8596,444,0,111,155,18042,268,233,0,339,6272,1477,1275,415,151,0,1188,840,0,110,336,0,282,614,8362,1807,193,58,174,0,0,864,83,94,294,0,1148,116,59,0,391,3793,842,439,145,478,394,159,434,187,6332,4106,162,1599,96,346,123,0,1182,0,247,0,456,617,1569,381,76,3048,232,442,797,112,113,0,0,252,68978,314,723,398,314,68,393,78,1186,0,904,98,0
1725639360000,undefined,0,2121,231,1058,14362,0,291,789,75,1466,161,0,0,0,47,122,759,0,1534,68,592,0,1304,127,10351,488,92,3159,1761,2552,160,253,231,0,87,1335,348,117,5676,0,2629,273,0,328,11475,633,326,8596,913,0,117,155,24947,268,274,0,339,6272,1477,1133,438,151,0,1188,840,0,143,336,0,282,614,8362,1807,193,58,174,0,0,910,76,102,294,0,1326,135,59,0,391,3748,842,439,145,478,394,159,434,187,6332,4106,162,1770,96,346,123,0,1182,0,247,0,456,617,1569,381,76,1524,232,442,819,128,119,0,0,252,68978,314,767,398,314,105,393,78,1186,0,904,98,0
1725639480000,undefined,0,2121,279,1095,17125,0,334,789,88,1513,128,0,0,0,51,147,819,0,1780,82,592,0,1304,127,10542,488,110,3159,1761,2552,166,253,246,0,87,1335,373,117,5676,0,2629,302,0,353,12938,645,326,8849,469,0,117,193,24947,263,274,0,371,6852,1305,1133,438,164,0,1212,884,0,143,397,0,325,567,8793,479,213,60,203,0,0,910,76,102,273,0,1326,135,61,0,432,3748,842,479,145,425,436,168,508,187,6332,4106,151,1770,97,385,123,0,1219,0,279,0,507,657,1943,381,142,1620,232,695,819,128,119,0,0,285,74874,301,767,416,318,105,479,180,1201,0,1033,112,0
1725639600000,undefined,0,2232,379,1201,17125,0,334,819,88,1513,128,0,0,0,51,147,645,0,1780,76,592,0,1304,127,10542,530,99,3497,2081,2552,166,272,246,0,99,1382,373,117,6279,0,2893,302,0,353,12938,645,360,8849,469,0,113,193,24511,263,325,0,371,6852,1305,1047,506,164,0,1242,884,0,158,397,21,331,567,8793,479,232,60,217,0,0,1003,77,106,273,0,1326,132,61,0,432,3801,860,479,179,491,436,189,508,193,6570,4260,151,1895,109,403,144,0,1219,0,279,0,507,657,1943,538,142,1620,332,695,843,128,131,0,0,285,74874,301,812,416,318,124,479,102,1201,0,1052,112,0
